zip_code,square_feet,bedrooms,bathrooms,year_built,lot_size,price
78701,1200,2,2,2018,2500,625000
78701,1600,3,2,2020,3200,785000
78701,2100,3,3,2017,4000,980000
78701,2500,4,3,2021,4600,1180000
78759,1400,3,2,2005,5000,445000
78759,1800,3,2,2010,6000,535000
78759,2200,4,3,2015,7000,660000
78759,2700,4,3,2019,7800,795000
78613,1500,3,2,2008,5500,365000
78613,1900,3,2,2012,6500,435000
78613,2300,4,3,2016,7500,525000
78613,2800,4,3,2020,8500,625000
78664,1400,3,2,2006,5200,325000
78664,1800,3,2,2011,6200,385000
78664,2300,4,3,2017,7300,475000
78664,2900,5,4,2021,9000,590000
78626,1500,3,2,2007,6000,310000
78626,2000,3,2,2013,7200,390000
78626,2500,4,3,2018,8500,480000
78626,3100,5,4,2022,10000,595000
78660,1450,3,2,2008,5400,330000
78660,1850,3,2,2012,6400,395000
78660,2350,4,3,2017,7600,485000
78660,2850,4,3,2021,8800,570000
